SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-04-22 12:00:00.000,12:00 PM,9.45
Broadway_35th_St,nyccas,2025-04-15 12:00:00.000,12:00 PM,8.74
Broadway_35th_St,nyccas,2025-04-18 14:00:00.000,02:00 PM,5.79
Broadway_35th_St,nyccas,2025-04-18 16:00:00.000,04:00 PM,7.07
Broadway_35th_St,nyccas,2025-04-17 04:00:00.000,04:00 AM,3.49
Broadway_35th_St,nyccas,2025-04-15 13:00:00.000,01:00 PM,8.38
Broadway_35th_St,nyccas,2025-04-18 17:00:00.000,05:00 PM,7.14
Broadway_35th_St,nyccas,2025-04-19 02:00:00.000,02:00 AM,10.56
Broadway_35th_St,nyccas,2025-04-17 12:00:00.000,12:00 PM,4.74
Broadway_35th_St,nyccas,2025-04-16 09:00:00.000,09:00 AM,3.09
Broadway_35th_St,nyccas,2025-04-19 08:00:00.000,08:00 AM,9.87
Broadway_35th_St,nyccas,2025-04-19 04:00:00.000,04:00 AM,9.53
Broadway_35th_St,nyccas,2025-04-18 10:00:00.000,10:00 AM,9.97
Broadway_35th_St,nyccas,2025-04-16 15:00:00.000,03:00 PM,3.74
Broadway_35th_St,nyccas,2025-04-19 13:00:00.000,01:00 PM,12.14
BQE,nyccas,2025-04-21 06:00:00.000,06:00 AM,3.21
Broadway_35th_St,nyccas,2025-04-18 11:00:00.000,11:00 AM,6.78
Broadway_35th_St,nyccas,2025-04-16 16:00:00.000,04:00 PM,3.63
Broadway_35th_St,nyccas,2025-04-19 17:00:00.000,05:00 PM,10.39
BQE,nyccas,2025-04-21 12:00:00.000,12:00 PM,3.99
Broadway_35th_St,nyccas,2025-04-18 23:00:00.000,11:00 PM,10.11
Broadway_35th_St,nyccas,2025-04-17 22:00:00.000,10:00 PM,4.3
Broadway_35th_St,nyccas,2025-04-19 10:00:00.000,10:00 AM,10.13
BQE,nyccas,2025-04-21 22:00:00.000,10:00 PM,4.84
Broadway_35th_St,nyccas,2025-04-19 12:00:00.000,12:00 PM,11.49
Broadway_35th_St,nyccas,2025-04-17 23:00:00.000,11:00 PM,4.17
Broadway_35th_St,nyccas,2025-04-19 16:00:00.000,04:00 PM,11.04
BQE,nyccas,2025-04-22 03:00:00.000,03:00 AM,6.23
Broadway_35th_St,nyccas,2025-04-19 14:00:00.000,02:00 PM,12.36
Broadway_35th_St,nyccas,2025-04-18 02:00:00.000,02:00 AM,3.79
Broadway_35th_St,nyccas,2025-04-19 19:00:00.000,07:00 PM,10.67
BQE,nyccas,2025-04-22 19:00:00.000,07:00 PM,3.98
Broadway_35th_St,nyccas,2025-04-18 15:00:00.000,03:00 PM,6.37
Broadway_35th_St,nyccas,2025-04-19 23:00:00.000,11:00 PM,12.51
Broadway_35th_St,nyccas,2025-04-20 14:00:00.000,02:00 PM,3.79
BQE,nyccas,2025-04-22 08:00:00.000,08:00 AM,13.96
Broadway_35th_St,nyccas,2025-04-18 20:00:00.000,08:00 PM,10.66
Broadway_35th_St,nyccas,2025-04-20 17:00:00.000,05:00 PM,3.7
Broadway_35th_St,nyccas,2025-04-20 06:00:00.000,06:00 AM,4.26
Broadway_35th_St,nyccas,2025-04-21 11:00:00.000,11:00 AM,6.68
BQE,nyccas,2025-04-22 10:00:00.000,10:00 AM,13.14
Broadway_35th_St,nyccas,2025-04-21 03:00:00.000,03:00 AM,3.24
Broadway_35th_St,nyccas,2025-04-20 18:00:00.000,06:00 PM,4.38
Broadway_35th_St,nyccas,2025-04-21 14:00:00.000,02:00 PM,5.34
BQE,nyccas,2025-04-22 14:00:00.000,02:00 PM,7.31
Broadway_35th_St,nyccas,2025-04-21 12:00:00.000,12:00 PM,5.63
Broadway_35th_St,nyccas,2025-04-20 21:00:00.000,09:00 PM,5.67
Broadway_35th_St,nyccas,2025-04-21 18:00:00.000,06:00 PM,6.84
Broadway_35th_St,nyccas,2025-04-19 22:00:00.000,10:00 PM,12.36
Broadway_35th_St,nyccas,2025-04-15 11:00:00.000,11:00 AM,14.1
Broadway_35th_St,nyccas,2025-04-21 00:00:00.000,12:00 AM,3.46
Broadway_35th_St,nyccas,2025-04-22 03:00:00.000,03:00 AM,6.33
Broadway_35th_St,nyccas,2025-04-20 03:00:00.000,03:00 AM,4.54
Broadway_35th_St,nyccas,2025-04-16 00:00:00.000,12:00 AM,2.63
Broadway_35th_St,nyccas,2025-04-18 03:00:00.000,03:00 AM,4.37
Broadway_35th_St,nyccas,2025-04-22 13:00:00.000,01:00 PM,6.65
BQE,nyccas,2025-04-22 22:00:00.000,10:00 PM,4.32
Broadway_35th_St,nyccas,2025-04-16 14:00:00.000,02:00 PM,3.99
Broadway_35th_St,nyccas,2025-04-18 07:00:00.000,07:00 AM,12.18
Broadway_35th_St,nyccas,2025-04-22 20:00:00.000,08:00 PM,5.33
Broadway_35th_St,nyccas,2025-04-15 19:00:00.000,07:00 PM,5.03
Broadway_35th_St,nyccas,2025-04-21 01:00:00.000,01:00 AM,3.46
Broadway_35th_St,nyccas,2025-04-17 00:00:00.000,12:00 AM,3.4
Broadway_35th_St,nyccas,2025-04-20 09:00:00.000,09:00 AM,3.72
Broadway_35th_St,nyccas,2025-04-21 15:00:00.000,03:00 PM,5.12
Broadway_35th_St,nyccas,2025-04-21 08:00:00.000,08:00 AM,4.83
Broadway_35th_St,nyccas,2025-04-16 21:00:00.000,09:00 PM,3.07
Broadway_35th_St,nyccas,2025-04-21 06:00:00.000,06:00 AM,3.2
Broadway_35th_St,nyccas,2025-04-17 02:00:00.000,02:00 AM,3.24
Broadway_35th_St,nyccas,2025-04-18 12:00:00.000,12:00 PM,9.32
Broadway_35th_St,nyccas,2025-04-17 16:00:00.000,04:00 PM,4.17
Broadway_35th_St,nyccas,2025-04-22 08:00:00.000,08:00 AM,12.65
Broadway_35th_St,nyccas,2025-04-17 06:00:00.000,06:00 AM,4.43
Cross_Bronx_Expy,nyccas,2025-04-15 08:00:00.000,08:00 AM,16.9
Broadway_35th_St,nyccas,2025-04-22 10:00:00.000,10:00 AM,14.9
Broadway_35th_St,nyccas,2025-04-17 07:00:00.000,07:00 AM,4.38
Cross_Bronx_Expy,nyccas,2025-04-16 06:00:00.000,06:00 AM,10.78
Broadway_35th_St,nyccas,2025-04-22 22:00:00.000,10:00 PM,4.73
Broadway_35th_St,nyccas,2025-04-16 20:00:00.000,08:00 PM,3.35
Broadway_35th_St,nyccas,2025-04-18 13:00:00.000,01:00 PM,6.35
Broadway_35th_St,nyccas,2025-04-21 13:00:00.000,01:00 PM,5.55
Cross_Bronx_Expy,nyccas,2025-04-15 14:00:00.000,02:00 PM,14.13
Broadway_35th_St,nyccas,2025-04-17 14:00:00.000,02:00 PM,4.42
Broadway_35th_St,nyccas,2025-04-21 20:00:00.000,08:00 PM,6.76
Broadway_35th_St,nyccas,2025-04-21 23:00:00.000,11:00 PM,5.42
Cross_Bronx_Expy,nyccas,2025-04-18 03:00:00.000,03:00 AM,5.17
Broadway_35th_St,nyccas,2025-04-17 09:00:00.000,09:00 AM,3.5
