SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-08-06 20:00:00.000,08:00 PM,4.66
Broadway_35th_St,nyccas,2025-08-02 01:00:00.000,01:00 AM,18.2
BQE,nyccas,2025-08-06 03:00:00.000,03:00 AM,16.83
Broadway_35th_St,nyccas,2025-08-01 17:00:00.000,05:00 PM,17.28
BQE,nyccas,2025-08-07 01:00:00.000,01:00 AM,6.68
Broadway_35th_St,nyccas,2025-08-02 07:00:00.000,07:00 AM,9.65
BQE,nyccas,2025-08-06 18:00:00.000,06:00 PM,4.57
Broadway_35th_St,nyccas,2025-08-02 08:00:00.000,08:00 AM,10.85
BQE,nyccas,2025-08-07 04:00:00.000,04:00 AM,9.21
Broadway_35th_St,nyccas,2025-08-02 12:00:00.000,12:00 PM,11.08
BQE,nyccas,2025-08-07 03:00:00.000,03:00 AM,6.9
Broadway_35th_St,nyccas,2025-08-02 23:00:00.000,11:00 PM,12.21
BQE,nyccas,2025-08-07 21:00:00.000,09:00 PM,3.6
Broadway_35th_St,nyccas,2025-08-02 17:00:00.000,05:00 PM,13.63
BQE,nyccas,2025-08-07 09:00:00.000,09:00 AM,26.86
Broadway_35th_St,nyccas,2025-08-03 01:00:00.000,01:00 AM,12.27
BQE,nyccas,2025-08-08 09:00:00.000,09:00 AM,6.06
BQE,nyccas,2025-08-06 10:00:00.000,10:00 AM,30.73
Broadway_35th_St,nyccas,2025-08-02 21:00:00.000,09:00 PM,12.22
Broadway_35th_St,nyccas,2025-08-03 21:00:00.000,09:00 PM,13.04
BQE,nyccas,2025-08-08 07:00:00.000,07:00 AM,6.05
BQE,nyccas,2025-08-06 19:00:00.000,07:00 PM,4.21
Broadway_35th_St,nyccas,2025-08-03 07:00:00.000,07:00 AM,10.02
BQE,nyccas,2025-08-08 12:00:00.000,12:00 PM,5.54
BQE,nyccas,2025-08-05 07:00:00.000,07:00 AM,30.69
BQE,nyccas,2025-08-07 02:00:00.000,02:00 AM,6.87
BQE,nyccas,2025-08-07 10:00:00.000,10:00 AM,25.21
BQE,nyccas,2025-08-08 22:00:00.000,10:00 PM,5.36
Broadway_35th_St,nyccas,2025-08-04 07:00:00.000,07:00 AM,15.8
BQE,nyccas,2025-08-07 05:00:00.000,05:00 AM,9.4
Broadway_35th_St,nyccas,2025-08-03 22:00:00.000,10:00 PM,12.57
BQE,nyccas,2025-08-09 03:00:00.000,03:00 AM,6.55
BQE,nyccas,2025-08-06 02:00:00.000,02:00 AM,15.88
BQE,nyccas,2025-08-07 08:00:00.000,08:00 AM,24.15
BQE,nyccas,2025-08-09 05:00:00.000,05:00 AM,7.97
Broadway_35th_St,nyccas,2025-08-04 08:00:00.000,08:00 AM,19.69
Broadway_35th_St,nyccas,2025-08-04 14:00:00.000,02:00 PM,28.38
BQE,nyccas,2025-08-09 15:00:00.000,03:00 PM,7.69
BQE,nyccas,2025-08-08 13:00:00.000,01:00 PM,5.79
BQE,nyccas,2025-08-07 11:00:00.000,11:00 AM,20.67
BQE,nyccas,2025-08-06 08:00:00.000,08:00 AM,25.46
BQE,nyccas,2025-08-08 17:00:00.000,05:00 PM,2.91
BQE,nyccas,2025-08-09 01:00:00.000,01:00 AM,6.48
BQE,nyccas,2025-08-07 13:00:00.000,01:00 PM,12.42
BQE,nyccas,2025-08-06 17:00:00.000,05:00 PM,4.98
BQE,nyccas,2025-08-09 10:00:00.000,10:00 AM,7.36
BQE,nyccas,2025-08-09 07:00:00.000,07:00 AM,7.59
BQE,nyccas,2025-08-07 18:00:00.000,06:00 PM,2.4
BQE,nyccas,2025-08-08 11:00:00.000,11:00 AM,6.72
BQE,nyccas,2025-08-09 08:00:00.000,08:00 AM,7.53
Broadway_35th_St,nyccas,2025-08-04 23:00:00.000,11:00 PM,23.17
BQE,nyccas,2025-08-09 12:00:00.000,12:00 PM,6.95
Broadway_35th_St,nyccas,2025-08-01 18:00:00.000,06:00 PM,17.3
Broadway_35th_St,nyccas,2025-08-05 19:00:00.000,07:00 PM,28.29
Broadway_35th_St,nyccas,2025-08-05 23:00:00.000,11:00 PM,22.2
BQE,nyccas,2025-08-07 20:00:00.000,08:00 PM,3.64
Broadway_35th_St,nyccas,2025-08-01 19:00:00.000,07:00 PM,16.47
Broadway_35th_St,nyccas,2025-08-05 21:00:00.000,09:00 PM,25.5
Broadway_35th_St,nyccas,2025-08-02 04:00:00.000,04:00 AM,13.23
BQE,nyccas,2025-08-08 01:00:00.000,01:00 AM,4.6
Broadway_35th_St,nyccas,2025-08-01 21:00:00.000,09:00 PM,17.89
Broadway_35th_St,nyccas,2025-08-06 05:00:00.000,05:00 AM,21.09
Broadway_35th_St,nyccas,2025-08-02 09:00:00.000,09:00 AM,12.98
Broadway_35th_St,nyccas,2025-08-01 20:00:00.000,08:00 PM,17.19
Broadway_35th_St,nyccas,2025-08-06 03:00:00.000,03:00 AM,23.38
BQE,nyccas,2025-08-09 16:00:00.000,04:00 PM,5.94
Broadway_35th_St,nyccas,2025-08-01 22:00:00.000,10:00 PM,19.34
BQE,nyccas,2025-08-08 04:00:00.000,04:00 AM,5.28
BQE,nyccas,2025-08-06 22:00:00.000,10:00 PM,4.75
Broadway_35th_St,nyccas,2025-08-03 12:00:00.000,12:00 PM,13.6
Broadway_35th_St,nyccas,2025-08-02 05:00:00.000,05:00 AM,12.55
Broadway_35th_St,nyccas,2025-08-06 08:00:00.000,08:00 AM,35.34
BQE,nyccas,2025-08-07 12:00:00.000,12:00 PM,16.19
Broadway_35th_St,nyccas,2025-08-01 15:00:00.000,03:00 PM,16.62
Broadway_35th_St,nyccas,2025-08-02 11:00:00.000,11:00 AM,18.7
Broadway_35th_St,nyccas,2025-08-06 09:00:00.000,09:00 AM,35.6
BQE,nyccas,2025-08-07 17:00:00.000,05:00 PM,3.4
Broadway_35th_St,nyccas,2025-08-02 00:00:00.000,12:00 AM,15.6
Broadway_35th_St,nyccas,2025-08-03 02:00:00.000,02:00 AM,13.2
Broadway_35th_St,nyccas,2025-08-06 15:00:00.000,03:00 PM,18.24
BQE,nyccas,2025-08-07 23:00:00.000,11:00 PM,4.56
Broadway_35th_St,nyccas,2025-08-02 10:00:00.000,10:00 AM,15.94
Broadway_35th_St,nyccas,2025-08-02 18:00:00.000,06:00 PM,13.99
Broadway_35th_St,nyccas,2025-08-06 16:00:00.000,04:00 PM,7.82
BQE,nyccas,2025-08-09 02:00:00.000,02:00 AM,5.58
Broadway_35th_St,nyccas,2025-08-02 13:00:00.000,01:00 PM,10.15
Broadway_35th_St,nyccas,2025-08-06 17:00:00.000,05:00 PM,9.32
BQE,nyccas,2025-08-08 15:00:00.000,03:00 PM,5.84
Broadway_35th_St,nyccas,2025-08-04 16:00:00.000,04:00 PM,30.36
